"Time","Vmon.U1","Vmon.U2","Vmon.U3","Vmon.U4","Vmon.U5","Vmon.U6","Vmon.U7","Vmon.U8","Vmon.U9","Vmon.U10"
1604944314497,0.913399296875,0.911050078125,0.912180234375,0.911299765625,0.91347109375,0.911812265625,0.91107046875,0.90926171875,0.90985640625,0.908665390625
1604944327900,0.9091253125,0.9070609375,0.908090078125,0.907295625,0.90924765625,0.9077396875,0.907076796875,0.9054365625,0.905942109375,0.904904140625
1604944341313,0.90579609375,0.904012734375,0.9049478125,0.90422796875,0.905988125,0.904632265625,0.9040375,0.902602578125,0.902995546875,0.902102109375
1604944354630,0.90097421875,0.899470625,0.9003121875,0.8996815625,0.901238828125,0.900038046875,0.89951359375,0.8982721875,0.898567109375,0.897809375
1604944368126,0.896718828125,0.895458359375,0.896208671875,0.89566484375,0.897018359375,0.895952734375,0.89550859375,0.89444328125,0.894620546875,0.8940084375
1604944381529,0.893454921875,0.892441875,0.89309859375,0.8926353125,0.89379453125,0.8928671875,0.89249328125,0.891630390625,0.891691015625,0.891205703125
1604944395010,0.888792578125,0.888070546875,0.888638671875,0.8882515625,0.88922125,0.888452265625,0.888147421875,0.887460859375,0.887424140625,0.88708578125
1604944408404,0.884049453125,0.883568359375,0.884053203125,0.883765625,0.88452953125,0.883887265625,0.883661484375,0.883172109375,0.883008828125,0.882797734375
1604944421825,0.880604453125,0.8804009375,0.880796171875,0.880578671875,0.8811515625,0.88065765625,0.880493515625,0.880171328125,0.879921796875,0.8798421875
1604944435204,0.877077890625,0.877089296875,0.87742546875,0.87726828125,0.87769640625,0.877314296875,0.877202109375,0.877030078125,0.876696328125,0.876722734375
1604944448536,0.87372921875,0.873877421875,0.874167578125,0.87404921875,0.874356953125,0.874051875,0.87399140625,0.873926328125,0.873526953125,0.873621953125
1604944461964,0.86566453125,0.866351015625,0.86649,0.866547734375,0.86647515625,0.866446953125,0.866516171875,0.86681296875,0.86617734375,0.866528046875
1604944475343,0.8656325,0.86629375,0.866429375,0.86648140625,0.86640375,0.866383515625,0.86644234375,0.866773828125,0.866125859375,0.866488359375
